코드번호,등록문구,메뉴,노출조건,비고,상태,업무구분,타입,용도,타이틀,영문타이틀,영문컨텐츠
AT-1923,메뉴확인 30초 이후에 인증해주세요.,메뉴 인증,메뉴 확인 후 30초가 지나기 전에 인증 버튼을 누른 경우,사용자가 제공한 예시를 바탕으로 한 데모. 조건은 예시용입니다.,active,,,,,,
EX-0101,인증번호를 발송했습니다.,휴대폰 인증,인증번호 전송 성공,합성 예시,active,,,,,,
EX-0102,인증번호를 다시 확인해주세요.,휴대폰 인증,입력한 인증번호 불일치,합성 예시,active,,,,,,
EX-0103,인증번호가 만료되었습니다. 다시 요청해주세요.,휴대폰 인증,유효시간이 지난 인증번호 입력,합성 예시,active,,,,,,
EX-0104,30초 이내에 인증을 완료해주세요.,기기 인증,인증 시작 후 완료 제한시간 안내,AT-1923과 시간의 방향이 다른 합성 예시,active,,,,,,
EX-0105,인증번호는 {seconds}초 후에 다시 요청할 수 있습니다.,휴대폰 인증,재발송 대기시간 안내,변수명은 변경하지 않습니다. 합성 예시,active,,,,,,
EX-0201,이미 가입된 휴대폰 번호입니다. 로그인해주세요.,회원가입,기존 회원의 번호로 신규 가입 요청,합성 예시,active,,,,,,
EX-0202,필수 약관에 동의해주세요.,회원가입,필수 약관 미동의,합성 예시,active,,,,,,
EX-0203,사용 가능한 이메일입니다.,회원가입,이메일 중복 확인 통과,합성 예시,active,,,,,,
EX-0204,이미 사용 중인 이메일입니다.,회원가입,이메일 중복 확인 실패,합성 예시,active,,,,,,
EX-0301,비밀번호를 다시 확인해주세요.,로그인,비밀번호 불일치,합성 예시,active,,,,,,
EX-0302,로그인이 필요합니다.,공통,로그인하지 않은 상태에서 회원 전용 메뉴 접근,합성 예시,active,,,,,,
EX-0401,변경사항을 저장하지 않고 나가시겠습니까?,공통,수정 중인 화면 이탈,합성 예시,active,,,,,,
EX-0402,네트워크 연결을 확인하고 다시 시도해주세요.,공통,통신 연결 실패,합성 예시,active,,,,,,
EX-0403,접근 권한이 없습니다.,공통,권한 없는 메뉴 접근,합성 예시,active,,,,,,
EX-0901,10초 뒤 다시 인증해주세요.,구버전 인증,폐기된 인증 흐름,폐기 상태 확인용 합성 예시,retired,,,,,,
